student_id,age,gender,department,semester,entrance_score_pct,current_gpa,backlogs,study_hours_per_week,attendance_pct,assignment_submission_rate,family_income,fee_payment_delay_days,scholarship,lms_login_frequency_per_week,library_visits_per_month,extracurricular_participation,distance_from_home_km,commute_mode,mental_health_score,sleep_hours_per_night,disciplinary_actions,dropout
STU100020,21,Male,Computer Science,4,65.1,5.59,1,27.7,59.3,64.0,60000,18,0,6.1,1,0,10.7,Hostel,7.1,8.6,0,1
STU100021,20,Female,Civil Engineering,6,81.9,4.35,0,9.6,78.4,75.5,76300,19,0,18.4,8,0,3.3,Bicycle,6.6,7.5,0,0
STU100022,19,Male,Electronics & Communication,1,83.1,3.41,1,10.4,93.1,100.0,60000,18,0,14.6,7,0,30.6,Own Vehicle,8.8,5.5,0,0
STU100023,24,Female,Civil Engineering,5,58.9,6.11,0,11.0,87.3,87.7,110400,34,0,11.1,7,0,7.6,Bicycle,7.0,8.6,0,0
STU100024,23,Female,Electrical Engineering,1,63.8,7.25,0,10.5,82.6,91.0,67400,25,0,0.0,9,1,34.5,Walking,8.6,9.5,0,0
STU100025,22,Male,Computer Science,1,64.1,3.82,1,13.7,55.5,71.2,122800,36,0,6.8,1,0,22.9,Walking,5.3,5.4,0,1
STU100026,20,Female,Electronics & Communication,1,79.7,5.95,0,13.4,71.4,65.1,60000,26,0,6.8,2,0,9.7,Bicycle,7.8,7.1,0,0
STU100027,23,Female,Electronics & Communication,2,71.7,4.85,1,15.9,79.5,79.4,60000,31,0,15.7,11,0,94.2,Hostel,9.6,7.4,0,0
STU100028,21,Female,Mechanical Engineering,3,71.1,4.75,1,9.3,58.5,46.1,60000,59,0,10.5,7,1,0.5,Walking,9.2,6.2,1,1
STU100029,21,Female,Electronics & Communication,8,76.4,7.83,0,16.2,91.1,68.5,60000,60,0,11.6,4,0,91.8,Walking,1.0,5.4,0,0
STU100030,21,Female,Electronics & Communication,8,62.8,5.38,1,7.4,76.9,64.2,60000,40,0,14.7,0,0,8.1,Bicycle,6.6,5.2,1,1
STU100031,19,Female,Civil Engineering,1,86.4,6.54,1,20.1,50.8,52.4,61700,19,0,17.8,1,1,39.1,Hostel,3.7,4.3,0,0
STU100032,18,Female,Computer Science,8,70.0,9.85,0,20.0,72.1,94.7,73100,27,0,17.3,2,1,34.7,Own Vehicle,5.9,7.7,0,1
STU100033,21,Male,Business Administration,6,59.7,2.48,2,15.0,73.0,79.0,60000,49,0,11.9,3,1,70.2,Hostel,4.9,5.9,0,1
STU100034,24,Female,Mechanical Engineering,5,67.2,6.26,2,10.5,75.2,71.7,92500,20,0,7.8,7,0,14.7,Public Transport,7.7,8.8,0,0
STU100035,18,Female,Electronics & Communication,7,84.8,5.1,1,17.2,98.4,93.1,60000,19,0,11.8,0,1,15.5,Own Vehicle,6.4,7.3,0,0
STU100036,24,Female,Business Administration,4,64.9,4.94,1,8.8,86.6,58.3,60000,21,0,9.4,3,0,7.1,Own Vehicle,5.1,6.5,0,1
STU100037,23,Male,Mechanical Engineering,3,81.4,6.75,1,15.2,59.4,62.8,60000,17,0,13.5,0,1,17.1,Public Transport,7.7,8.5,1,0
STU100038,19,Male,Civil Engineering,5,62.5,6.35,0,13.9,59.1,100.0,60000,21,0,7.2,4,0,10.0,Own Vehicle,4.7,6.5,0,1
STU100039,22,Male,Computer Science,6,60.8,4.45,2,33.4,73.3,100.0,65700,22,0,13.7,15,0,4.0,Own Vehicle,4.9,5.9,1,1
STU100040,19,Male,Business Administration,6,77.9,5.65,0,6.4,81.8,95.3,109700,46,0,10.2,10,1,39.0,Walking,5.6,7.5,1,0
STU100041,23,Male,Computer Science,2,59.5,4.31,3,0.0,89.4,86.1,60000,24,0,10.7,8,0,20.3,Public Transport,5.8,5.9,0,0
STU100042,22,Male,Civil Engineering,8,79.9,4.66,2,10.5,100.0,72.3,61300,58,0,3.2,3,0,37.2,Hostel,6.2,6.8,0,1
STU100043,20,Male,Mechanical Engineering,3,74.2,6.95,0,3.0,100.0,76.6,116000,23,0,8.6,1,1,7.6,Public Transport,7.1,7.0,2,0
STU100044,18,Male,Computer Science,7,59.5,5.21,1,9.9,72.3,86.4,60000,19,0,11.8,5,1,22.4,Public Transport,5.4,6.6,0,1
STU100045,24,Male,Mechanical Engineering,3,69.1,6.23,0,5.9,93.1,100.0,60000,18,0,9.1,0,0,20.7,Bicycle,7.3,7.1,0,0
STU100046,21,Female,Business Administration,1,63.4,4.96,1,8.7,84.5,89.4,60000,22,0,0.0,8,1,14.3,Hostel,6.7,7.1,2,1
STU100047,24,Male,Electrical Engineering,8,74.2,5.63,1,7.5,63.2,97.4,71300,31,0,3.4,5,1,45.0,Public Transport,6.4,6.8,0,0
STU100048,22,Male,Electrical Engineering,5,92.7,9.29,0,21.7,53.6,71.3,60000,20,0,11.7,5,1,68.9,Hostel,3.7,5.9,0,0
STU100049,23,Male,Electrical Engineering,2,65.6,6.88,0,14.7,82.0,94.3,65300,28,0,17.5,0,0,7.1,Hostel,7.5,5.2,0,0
STU100050,23,Male,Computer Science,1,76.4,8.38,0,22.5,59.1,74.9,60000,57,0,8.8,6,1,5.4,Bicycle,7.3,5.6,0,0
STU100051,19,Male,Electrical Engineering,2,70.3,6.22,0,15.3,68.1,87.1,144400,40,0,7.6,5,0,5.9,Public Transport,7.9,5.7,0,0
STU100052,20,Female,Civil Engineering,2,70.3,7.79,0,21.5,70.4,94.2,78600,30,0,15.3,2,0,7.3,Walking,6.8,7.4,0,0
STU100053,21,Female,Electronics & Communication,8,68.0,4.78,0,12.9,83.1,77.0,60000,19,0,10.1,6,0,18.3,Public Transport,8.9,8.8,0,1
STU100054,21,Male,Electronics & Communication,2,59.7,4.46,1,26.2,96.4,67.7,60000,18,0,13.3,4,0,23.4,Public Transport,7.6,6.5,0,0
STU100055,18,Female,Electronics & Communication,2,74.0,7.83,0,18.3,80.2,90.4,78600,18,0,8.5,7,0,81.1,Bicycle,5.9,8.1,1,0
STU100056,21,Male,Electronics & Communication,7,66.5,6.67,0,9.5,72.5,83.0,60000,22,0,8.0,8,0,19.3,Bicycle,6.5,5.6,0,0
STU100057,19,Male,Mechanical Engineering,8,59.1,4.27,1,19.3,49.5,85.0,99600,26,0,13.7,1,0,2.2,Public Transport,5.3,6.3,0,1
STU100058,23,Male,Business Administration,2,82.2,4.9,2,15.2,83.4,90.9,60000,23,0,12.6,6,1,42.4,Public Transport,4.4,6.3,0,1
STU100059,22,Male,Electrical Engineering,6,71.2,5.37,1,13.6,78.9,100.0,79600,25,0,8.0,6,0,76.6,Own Vehicle,7.9,7.3,0,0
STU100060,24,Female,Electronics & Communication,5,67.3,4.29,0,15.7,72.3,94.9,60000,25,0,4.4,10,1,5.0,Public Transport,6.1,5.7,1,1
STU100061,23,Female,Computer Science,5,86.1,9.65,0,20.3,96.3,93.0,60000,29,0,1.7,9,0,14.6,Bicycle,7.9,7.5,0,0
STU100062,20,Female,Electronics & Communication,3,48.0,5.05,1,0.2,61.8,75.5,60000,23,0,1.9,4,0,19.7,Walking,10.0,7.0,1,1
STU100063,24,Male,Computer Science,7,85.3,5.6,2,12.5,67.4,75.8,138600,18,0,6.0,4,1,70.5,Walking,8.5,6.7,0,0
STU100064,20,Female,Electrical Engineering,8,59.4,3.08,5,19.8,69.1,81.8,60000,55,0,9.6,6,0,84.2,Bicycle,3.4,5.8,0,1
STU100065,20,Male,Mechanical Engineering,6,72.5,4.56,1,16.7,70.6,77.6,311300,12,0,1.3,1,0,26.8,Walking,5.5,4.4,0,1
STU100066,24,Male,Electronics & Communication,8,62.9,4.14,1,7.1,86.2,89.8,60000,20,0,1.6,2,1,9.1,Hostel,7.7,5.9,1,0
STU100067,20,Male,Computer Science,1,58.9,4.45,1,0.0,85.0,70.8,60000,26,0,11.5,4,0,10.6,Own Vehicle,7.3,7.5,2,1
STU100068,18,Female,Electrical Engineering,6,85.8,8.64,0,26.9,94.7,100.0,60000,17,0,17.8,0,0,15.9,Public Transport,9.4,4.2,0,0
STU100069,21,Other,Mechanical Engineering,8,92.3,5.84,0,13.7,87.0,87.9,102700,18,0,15.4,2,0,8.0,Own Vehicle,6.0,4.5,1,1
STU100070,23,Male,Electronics & Communication,5,67.3,9.05,0,25.6,78.4,86.9,60000,19,0,0.8,4,0,56.5,Own Vehicle,4.2,6.1,0,0
STU100071,19,Female,Business Administration,8,74.0,4.41,2,20.6,72.2,73.8,80300,26,0,11.2,17,0,2.3,Own Vehicle,4.4,5.4,0,1
STU100072,21,Female,Civil Engineering,3,70.7,3.4,3,9.4,81.9,100.0,197500,13,0,13.6,3,0,27.8,Own Vehicle,8.7,10.0,2,1
STU100073,18,Female,Civil Engineering,8,90.8,9.96,0,0.0,77.3,66.2,73200,18,0,7.5,8,1,39.4,Public Transport,7.0,6.8,0,0
STU100074,22,Male,Mechanical Engineering,8,44.6,5.69,0,11.8,80.7,74.5,60000,23,0,8.8,5,1,22.0,Own Vehicle,8.3,6.0,0,1
STU100075,21,Female,Electronics & Communication,5,74.5,5.67,0,14.7,87.1,97.8,102300,19,0,11.7,7,0,14.0,Own Vehicle,6.0,8.0,1,0
STU100076,20,Female,Computer Science,6,61.3,5.51,1,18.2,80.4,86.6,79400,21,0,12.0,1,1,19.0,Bicycle,5.1,6.4,0,1
STU100077,19,Female,Computer Science,5,41.7,3.99,5,7.2,76.8,66.3,60000,22,0,9.9,0,1,1.3,Public Transport,7.2,6.4,0,1
STU100078,21,Male,Electrical Engineering,3,65.7,5.47,0,16.2,68.9,76.8,109100,17,0,13.6,11,0,12.0,Bicycle,4.1,8.9,1,0
STU100079,22,Female,Electrical Engineering,5,92.2,5.3,1,16.2,97.4,78.6,60000,21,0,10.7,0,1,6.9,Walking,7.5,3.8,1,0
STU100080,24,Male,Mechanical Engineering,8,62.1,1.0,3,21.9,60.0,80.5,123600,22,0,5.7,11,0,5.4,Hostel,9.5,5.3,1,1
STU100081,21,Female,Business Administration,1,79.5,5.01,1,12.9,84.6,100.0,66500,20,0,7.4,4,0,7.6,Walking,2.0,7.2,0,1
STU100082,19,Male,Civil Engineering,2,84.4,9.66,0,18.1,73.2,94.1,100200,40,0,6.1,2,0,5.7,Public Transport,4.5,5.3,1,0
STU100083,23,Male,Mechanical Engineering,4,69.8,8.56,0,17.0,95.2,100.0,60000,18,0,7.7,3,1,43.9,Own Vehicle,6.7,5.3,1,0
STU100084,22,Male,Electrical Engineering,3,71.4,5.3,0,21.1,92.4,78.5,60000,28,0,12.8,12,1,9.0,Own Vehicle,5.6,7.6,0,0
STU100085,22,Male,Civil Engineering,5,49.4,2.42,0,9.3,80.0,92.7,68700,32,0,6.1,3,0,15.3,Own Vehicle,6.2,5.6,0,1
STU100086,18,Male,Electrical Engineering,3,61.4,5.36,1,0.0,100.0,59.7,88100,16,0,14.9,4,0,4.9,Hostel,10.0,7.0,1,0
STU100087,20,Male,Business Administration,6,80.9,7.17,0,13.3,77.4,87.7,60000,23,0,5.1,9,0,42.4,Walking,5.3,6.2,0,1
STU100088,23,Male,Mechanical Engineering,1,70.7,6.62,0,13.4,92.3,86.8,60000,22,0,11.0,7,1,3.8,Public Transport,6.2,7.0,0,0
STU100089,23,Male,Civil Engineering,3,74.4,1.91,3,6.9,65.3,100.0,60000,21,0,13.0,14,0,25.8,Walking,4.2,6.4,0,1
STU100090,21,Female,Business Administration,6,71.6,10.0,0,4.4,85.7,100.0,60000,37,0,12.2,10,0,6.6,Walking,3.6,7.6,0,1
STU100091,23,Female,Electrical Engineering,4,96.3,9.52,0,11.0,66.9,81.1,60000,30,0,0.8,3,0,4.5,Own Vehicle,7.4,7.7,1,0
STU100092,23,Female,Mechanical Engineering,6,64.8,4.87,1,14.2,78.8,70.7,66900,17,0,10.3,11,0,27.8,Own Vehicle,3.3,5.6,1,0
STU100093,20,Male,Civil Engineering,6,89.3,5.99,0,15.7,79.3,73.2,60000,20,0,6.3,0,0,19.7,Bicycle,4.1,4.4,0,0
STU100094,24,Male,Electrical Engineering,3,71.6,7.31,0,0.0,92.3,80.6,60000,21,0,3.4,9,1,63.2,Hostel,6.7,6.3,1,0
STU100095,20,Female,Computer Science,4,90.3,8.02,0,2.7,70.6,100.0,108400,50,0,11.1,3,1,7.1,Public Transport,7.3,5.7,0,0
STU100096,19,Male,Electrical Engineering,8,55.3,4.57,1,22.9,100.0,89.2,60000,31,0,3.4,8,0,7.8,Bicycle,4.6,5.6,1,1
STU100097,22,Male,Computer Science,8,72.2,6.51,0,13.7,60.7,92.8,60000,26,0,11.2,13,1,54.7,Hostel,5.1,4.2,0,0
STU100098,22,Female,Electronics & Communication,1,65.3,5.04,0,15.0,83.3,97.2,60000,22,0,17.3,0,0,64.4,Public Transport,3.4,6.0,0,0
STU100099,18,Female,Computer Science,6,71.7,6.38,0,5.7,84.0,70.1,60000,18,0,11.5,9,0,80.9,Bicycle,7.7,6.6,1,0
STU100100,23,Male,Electrical Engineering,4,84.7,7.94,0,15.0,87.5,74.4,88900,19,0,8.8,9,0,20.6,Public Transport,6.8,5.7,1,0
STU100101,19,Female,Business Administration,1,74.5,6.51,0,12.4,72.8,92.8,60000,24,0,9.2,8,0,72.0,Bicycle,6.6,6.4,0,0
STU100102,23,Male,Civil Engineering,6,84.6,7.24,0,10.7,83.4,73.3,63200,45,0,14.6,2,0,60.3,Bicycle,3.6,7.3,0,0
STU100103,18,Female,Electronics & Communication,1,62.0,7.19,0,4.8,72.1,62.1,101800,23,0,8.5,5,1,85.2,Walking,8.2,8.3,0,0
STU100104,23,Male,Electronics & Communication,3,60.1,2.25,1,8.9,100.0,66.8,60000,28,0,7.3,2,1,23.9,Walking,5.4,8.5,0,0
STU100105,23,Male,Electrical Engineering,6,70.2,4.34,2,28.8,68.1,96.8,60000,41,0,4.5,7,1,14.4,Walking,7.8,5.7,0,0
STU100106,23,Female,Civil Engineering,7,69.5,5.61,1,12.6,76.4,77.4,60000,23,0,5.1,0,1,21.8,Hostel,5.2,5.5,0,0
STU100107,22,Male,Electrical Engineering,4,67.8,4.25,1,20.5,69.2,86.4,145800,24,0,14.1,4,0,13.9,Own Vehicle,7.1,4.7,0,1
STU100108,21,Female,Civil Engineering,7,58.5,4.05,1,13.6,67.3,67.5,60000,33,0,7.2,8,0,44.3,Walking,4.8,7.6,0,1
STU100109,22,Male,Electronics & Communication,7,84.4,8.81,0,12.8,60.4,90.7,60000,37,0,12.8,3,1,53.4,Hostel,8.3,6.7,0,0
STU100110,19,Female,Business Administration,4,65.6,5.01,0,10.5,89.4,81.0,61100,30,0,13.2,4,0,25.0,Bicycle,4.1,8.3,0,0
STU100111,23,Female,Business Administration,2,87.1,4.04,2,24.4,67.6,87.7,60000,20,0,4.4,2,0,2.8,Public Transport,7.0,6.7,0,1
STU100112,21,Male,Computer Science,6,70.2,4.93,1,17.6,67.3,75.8,60000,24,0,5.6,7,1,11.5,Public Transport,4.0,5.8,0,0
STU100113,21,Female,Electrical Engineering,1,77.8,6.32,0,9.5,66.5,92.6,114500,17,0,12.9,5,1,17.2,Bicycle,5.9,6.4,2,0
STU100114,21,Male,Civil Engineering,8,76.7,6.2,0,12.2,84.3,77.1,60000,22,0,10.7,3,0,40.2,Hostel,7.9,6.2,1,0
STU100115,21,Male,Electrical Engineering,4,60.1,5.7,1,22.5,78.8,81.8,60000,29,0,8.7,3,1,37.7,Walking,4.1,5.6,0,1
STU100116,18,Male,Civil Engineering,7,74.4,6.71,0,0.0,80.4,80.9,60000,22,0,12.3,6,0,48.6,Public Transport,7.6,6.6,0,0
STU100117,18,Female,Business Administration,6,93.1,7.23,0,17.2,69.3,85.4,60000,21,0,15.1,1,1,12.4,Own Vehicle,8.2,5.4,0,0
STU100118,19,Female,Electrical Engineering,4,73.0,3.93,2,18.8,83.1,85.2,60000,23,0,9.0,5,1,14.3,Public Transport,2.3,8.3,0,1
STU100119,18,Female,Business Administration,8,80.8,5.76,0,9.8,70.7,77.6,68000,17,0,7.2,6,0,40.6,Public Transport,7.7,4.3,1,1
STU100120,21,Female,Business Administration,7,78.3,5.27,1,16.1,79.5,81.2,116700,49,0,10.2,6,1,8.4,Own Vehicle,8.3,8.1,1,1
STU100121,22,Female,Business Administration,8,73.7,5.44,1,18.5,76.5,85.8,60000,21,0,5.6,3,0,22.0,Public Transport,5.0,5.8,1,1
STU100122,22,Male,Computer Science,1,72.2,6.88,0,6.4,56.4,92.6,60000,20,0,10.7,8,1,24.4,Bicycle,4.9,3.0,0,0
STU100123,21,Female,Electrical Engineering,4,76.6,6.77,0,20.9,100.0,83.9,60000,21,0,10.0,9,0,0.0,Bicycle,3.4,4.2,0,0
STU100124,23,Female,Computer Science,8,79.2,7.65,0,17.1,88.0,71.7,74600,19,0,5.9,8,1,59.8,Walking,4.8,6.4,0,0
STU100125,21,Male,Computer Science,7,53.8,3.69,2,13.9,79.5,82.3,60000,19,0,7.2,6,1,69.2,Own Vehicle,8.4,6.0,0,1
STU100126,18,Female,Computer Science,4,73.0,8.25,0,15.7,84.7,95.1,60000,28,0,8.4,0,0,40.8,Hostel,5.7,7.0,1,0
STU100127,23,Male,Mechanical Engineering,1,67.8,6.5,0,20.0,100.0,65.0,60000,29,0,13.7,12,0,21.3,Own Vehicle,7.5,5.9,1,1
STU100128,22,Male,Computer Science,3,65.3,5.4,0,31.2,95.9,65.2,60000,21,0,5.6,6,1,4.0,Public Transport,5.4,7.3,0,0
STU100129,22,Male,Electrical Engineering,5,85.6,7.81,0,19.3,84.9,75.1,60000,18,0,6.0,7,0,8.4,Public Transport,6.5,6.5,0,0
STU100130,21,Male,Business Administration,6,61.2,3.81,1,20.7,68.6,80.1,60000,44,0,7.7,3,0,73.5,Public Transport,8.6,7.3,0,0
STU100131,21,Male,Business Administration,8,53.3,0.89,0,16.4,72.3,52.0,60000,21,0,12.8,5,0,2.4,Bicycle,9.3,7.6,0,1
STU100132,18,Female,Business Administration,1,79.5,5.39,0,28.3,54.8,93.6,60000,24,0,13.6,10,0,40.3,Public Transport,6.9,7.2,0,0
STU100133,21,Female,Computer Science,4,53.0,5.43,0,4.7,74.8,82.3,199800,17,0,11.3,9,1,38.3,Own Vehicle,6.3,6.1,0,1
STU100134,23,Male,Civil Engineering,3,46.9,3.88,2,2.8,86.3,45.7,60000,18,0,12.8,4,0,14.6,Walking,4.8,8.3,0,0
STU100135,20,Male,Civil Engineering,8,80.9,6.25,0,16.1,88.9,68.3,112700,37,0,15.8,12,0,9.4,Hostel,8.0,6.4,0,0
STU100136,22,Male,Computer Science,2,71.9,4.4,3,19.6,84.1,74.5,107800,18,0,9.6,1,1,24.0,Bicycle,6.0,5.6,0,1
STU100137,18,Male,Business Administration,2,75.7,2.92,6,0.0,63.8,46.4,79400,22,0,3.6,0,0,20.5,Own Vehicle,8.3,5.9,0,1
STU100138,20,Female,Mechanical Engineering,3,64.7,7.46,0,15.0,87.7,99.6,60000,22,0,9.6,0,1,7.4,Hostel,3.3,7.0,0,1
STU100139,21,Male,Business Administration,1,53.4,3.94,2,13.7,88.5,83.8,60000,27,0,2.4,9,0,2.1,Walking,5.4,7.8,0,1
STU100140,24,Female,Computer Science,6,55.8,3.77,0,20.2,48.8,95.2,60000,24,0,12.0,3,1,25.4,Own Vehicle,6.3,7.4,0,0
STU100141,19,Female,Civil Engineering,5,66.7,4.26,1,18.0,82.8,67.6,164200,18,0,7.1,5,0,11.9,Bicycle,7.6,7.4,0,1
STU100142,19,Female,Computer Science,5,54.7,6.39,0,2.3,100.0,91.2,62700,20,0,10.6,10,1,2.3,Bicycle,4.1,6.0,0,0
STU100143,20,Female,Business Administration,8,73.7,7.3,0,7.4,75.9,75.1,60000,36,0,9.6,7,0,5.4,Hostel,6.1,7.9,1,0
STU100144,24,Male,Civil Engineering,4,64.5,3.61,2,9.4,41.7,78.1,143100,15,0,7.3,1,1,175.5,Own Vehicle,8.4,6.5,0,1
STU100145,23,Female,Computer Science,3,72.2,7.64,0,20.2,68.6,90.3,60000,17,0,11.1,12,0,0.3,Bicycle,7.3,5.8,0,0
STU100146,18,Female,Electrical Engineering,4,71.9,5.52,0,17.6,54.6,83.9,68300,18,0,9.4,4,0,16.8,Bicycle,7.4,4.0,0,1
STU100147,19,Female,Mechanical Engineering,7,74.6,4.99,1,10.7,69.6,95.1,74700,27,0,6.4,5,0,13.4,Walking,4.8,7.3,0,1
STU100148,23,Female,Computer Science,5,76.0,5.61,0,16.0,62.9,87.1,60400,24,0,4.5,3,0,11.5,Hostel,6.2,5.7,0,1
STU100149,18,Female,Computer Science,2,65.9,4.02,1,7.6,91.5,76.1,60000,18,0,11.4,1,0,58.0,Walking,4.5,5.1,0,1
STU100150,23,Other,Business Administration,6,72.2,3.66,2,29.3,87.9,93.6,81000,20,0,3.2,6,0,1.4,Hostel,8.4,4.8,2,1
STU100151,19,Male,Business Administration,6,72.8,7.07,0,19.0,84.8,100.0,60000,39,0,19.0,0,0,4.6,Bicycle,7.2,7.7,1,0
STU100152,24,Female,Civil Engineering,2,40.9,2.92,1,20.5,95.7,84.3,95600,21,0,16.0,5,1,6.9,Walking,6.8,6.7,0,0
STU100153,20,Female,Business Administration,5,77.8,7.21,0,24.6,72.1,100.0,60000,30,0,2.1,12,0,26.0,Own Vehicle,6.9,7.2,0,1
STU100154,21,Male,Civil Engineering,5,71.8,6.2,0,22.1,81.0,81.5,109400,35,0,13.1,9,0,19.3,Walking,8.8,6.2,1,0
STU100155,22,Female,Computer Science,2,76.8,7.02,0,15.2,100.0,83.1,91800,51,0,15.7,6,0,44.0,Walking,10.0,6.6,0,0
STU100156,18,Male,Electronics & Communication,1,54.6,1.09,6,13.7,79.2,73.1,68200,20,0,4.7,1,0,8.1,Walking,5.9,6.4,0,1
STU100157,21,Female,Computer Science,6,66.2,3.91,0,24.0,88.2,83.1,60000,20,0,11.8,5,0,27.9,Walking,6.8,5.0,0,0
STU100158,21,Male,Electronics & Communication,5,56.9,5.46,0,15.2,69.3,80.3,95000,20,0,9.4,2,0,25.3,Public Transport,7.5,7.6,0,1
STU100159,23,Male,Mechanical Engineering,6,78.9,4.28,1,9.8,72.7,72.3,69100,30,0,13.0,11,0,30.1,Walking,9.3,5.4,0,1
STU100160,24,Female,Computer Science,4,53.1,4.85,0,28.8,66.0,70.1,60000,22,0,7.8,4,0,58.2,Public Transport,8.2,5.8,0,0
STU100161,22,Male,Electrical Engineering,5,58.9,2.48,1,8.4,100.0,84.7,60000,25,0,14.7,2,0,42.6,Bicycle,7.2,7.0,0,1
STU100162,20,Male,Electronics & Communication,8,76.4,6.14,1,2.9,56.7,100.0,60000,64,0,8.9,5,1,70.0,Own Vehicle,7.3,7.8,1,1
STU100163,20,Male,Business Administration,2,62.4,7.57,0,21.9,92.8,97.2,60000,27,0,8.4,2,0,44.3,Walking,7.4,5.7,0,0
STU100164,20,Male,Civil Engineering,6,58.9,5.95,0,9.9,88.1,90.8,74900,18,0,13.2,6,1,10.1,Bicycle,3.9,7.5,0,0
STU100165,23,Female,Computer Science,2,80.9,3.51,4,18.0,51.6,95.7,124200,16,0,12.9,13,0,24.4,Hostel,8.3,6.9,0,1
STU100166,20,Female,Business Administration,1,81.4,7.87,0,27.7,96.0,85.3,69700,25,0,0.0,6,0,52.8,Bicycle,5.0,6.2,0,0
STU100167,19,Male,Electronics & Communication,8,78.7,9.21,0,5.4,76.4,70.2,60000,19,0,0.0,2,1,42.7,Public Transport,6.5,6.4,0,0
STU100168,20,Female,Mechanical Engineering,2,80.2,10.0,0,14.7,61.5,79.8,60000,29,0,11.7,5,1,23.4,Bicycle,5.0,6.4,1,0
STU100169,18,Male,Civil Engineering,6,67.2,6.14,0,25.4,85.1,84.1,101700,30,0,6.7,0,0,1.4,Hostel,6.0,6.8,0,0
STU100170,18,Female,Business Administration,5,67.5,3.22,0,19.8,68.5,77.3,60000,23,0,3.4,17,1,5.8,Public Transport,7.1,8.0,0,0
STU100171,18,Male,Mechanical Engineering,7,62.2,5.67,0,13.7,77.1,94.2,60000,24,0,8.1,13,1,25.0,Bicycle,9.3,6.9,0,1
STU100172,23,Male,Computer Science,5,72.0,8.31,0,31.7,72.9,99.0,60000,22,0,24.6,10,1,8.9,Bicycle,5.8,6.1,0,0
STU100173,23,Male,Computer Science,6,63.7,4.79,2,14.3,64.7,55.0,86600,36,0,2.5,9,0,15.0,Hostel,9.0,5.9,0,0
